PersonID,Role,TypeOfRecording,Timestamp,ToolCall,Condition
0,Answer,Recording,22.11.2024 19:34:05,null,ECA + Audio
0,System,Recording,22.11.2024 19:34:08,null,ECA + Audio
0,Answer,Recording,22.11.2024 19:34:08,null,ECA + Audio
0,System,Recording,22.11.2024 19:34:11,null,ECA + Audio
0,Answer,Recording,22.11.2024 19:34:11,null,ECA + Audio
0,System,Recording,22.11.2024 19:34:16,null,ECA + Audio
0,Answer,Recording,22.11.2024 19:34:18,null,ECA + Audio
0,System,Recording,22.11.2024 19:34:21,null,ECA + Audio
0,Answer,Recording,22.11.2024 19:34:23,null,ECA + Audio
0,User,Recording,22.11.2024 19:34:44,null,ECA + Audio
0,Tool,Recording,22.11.2024 19:34:45,null,ECA + Audio
0,Answer,Recording,22.11.2024 19:34:47,null,ECA + Audio
0,System,Recording,22.11.2024 19:34:56,null,ECA + Audio
0,System,Recording,22.11.2024 19:34:58,null,ECA + Audio
0,Answer,Recording,22.11.2024 19:34:58,null,ECA + Audio
0,Answer,Recording,22.11.2024 19:35:01,null,ECA + Audio
0,System,Recording,22.11.2024 19:35:31,null,ECA + Audio
0,System,Recording,22.11.2024 19:35:31,null,ECA + Audio
0,System,Recording,22.11.2024 19:35:31,null,ECA + Audio
0,System,Recording,22.11.2024 19:35:31,null,ECA + Audio
0,Answer,Recording,22.11.2024 19:35:32,null,ECA + Audio
0,System,Recording,22.11.2024 19:35:40,null,ECA + Audio
0,System,Recording,22.11.2024 19:35:40,null,ECA + Audio
0,Tool,Recording,22.11.2024 19:35:43,null,ECA + Audio
0,Answer,Recording,22.11.2024 19:35:45,null,ECA + Audio
0,User,Recording,22.11.2024 19:35:57,null,ECA + Audio
0,Answer,Recording,22.11.2024 19:35:59,null,ECA + Audio
0,System,Recording,22.11.2024 19:36:19,null,ECA + Audio
0,System,Recording,22.11.2024 19:36:19,null,ECA + Audio
0,System,Recording,22.11.2024 19:36:19,null,ECA + Audio
0,System,Recording,22.11.2024 19:36:19,null,ECA + Audio
0,Answer,Recording,22.11.2024 19:36:19,null,ECA + Audio
0,System,Recording,22.11.2024 19:36:29,null,ECA + Audio
